True,Plant Name,Title,Description
31,Air Plant,LIGHT,"Air plants require indirect bright light. Too much light and foliage will dry out too quickly and burn, but too little light will cause a slow decline of the plant. Bright indirect light can be found in places like an eastern window or a few feet back from a southern or western window."
32,Air Plant,TEMPERATURE,Air plants will do best in temperatures between 60-80°F.
33,Air Plant,TOXICITY,Air plants are considered to be non-toxic to humans and pets if ingested.
34,Air Plant,WATER,"Every 1-2 weeks, fill a sink or tub with lukewarm water and soak your air plant for 30 minutes. After soaking, lay them upside down on a towel until they are completely dry, this will usually take 1-2 hours but can take longer. It is very important to dry them before putting them back as it prevents rot and mold from occurring. After drying, they can be put back into their home.
Soak less frequently in the winter as they go dormant."
35,Alocasia Azlanii,ADDITIONAL CARE,"Your Alocasia will go through a dormant period in the winter months. During dormancy, keep your Alocasia in a warmer spot in your home. Reduce the frequency of watering but do not allow the potting mix to completely dry out. The plant will naturally come out of dormancy in the spring when you’ll notice new growth. At this time, begin to water the plant more frequently and give it its first spring fertilizer application. If your Alocasia is in need of a trim, clean up your plant using clean, sharpPlant Snips."
36,Alocasia Azlanii,FOOD,"Feed every month in the spring and summer with half-strength, all-purpose indoor plant fertilizer, such as ourAll Purpose Fertilizer (20-20-20). No fertilizer is needed in the fall and winter months. Before applying, make sure the soil is damp to avoid burning the roots."
37,Alocasia Azlanii,HUMIDITY,"Your Alocasia prefers a spot with ample humidity. Mist the leaves regularly using aMister, place a humidifier nearby, or use a pebble tray to raise the humidity."
38,Alocasia Azlanii,LIGHT,"Your Alocasia Azlanii will thrive in a spot with medium to bright indirect light. Avoid direct sunlight, which can cause leaf scorch. It is not tolerant of low-light situations. If you don’t have a location with ideal lighting for your Alocasia Azlanii, use aGrow Light!"
39,Alocasia Azlanii,TEMPERATURE,Your Alocasia prefers warm temperatures between 65–85°F. Avoid cold drafts and sudden temperature changes.
40,Alocasia Azlanii,TOXICITY,"Alocasias are mildly toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting."
41,Alocasia Azlanii,WATER,"Water your Alocasiawhen 25-50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. Alocasia is susceptible to root rot, so avoid overwatering."
42,Aloe Blush,ADDITIONAL CARE,"If you place your plant in the full sun during the late spring and summer, it will most likely reward you with soft-orange blooms. When placed outdoors, it will require a bit more water. Look out for wilting leaves—this is a result of inadequate water."
43,Aloe Blush,FOOD,Feed once in the spring and once in the summer with aliquid fertilizerfor cacti and succulents.
44,Aloe Blush,HUMIDITY,This plant does not require any extra humidity and can handle dry air.
45,Aloe Blush,LIGHT,"Your Aloe plant prefers bright indirect light to full sun. Insufficient light will cause the leaves to droop downwards. If you don’t have a location with ideal lighting for your plant, use aGrow Light!"
46,Aloe Blush,TEMPERATURE,Your Aloe will appreciate temperatures between 65-75°F.
47,Aloe Blush,TOXICITY,This plant is toxic to pets and humans if ingested.
48,Aloe Blush,WATER,Wateryour Aloe when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.
49,Ant Plant,ADDITIONAL CARE,"The Ant Plant’s base is hollow with sticky sap, which makes them the perfect symbiotic partner for ants in the jungle. Not to worry, they won’t invite these guests into your home!"
50,Ant Plant,FOOD,Feed once in the spring and once in the summer with ageneral-purpose fertilizerat half-strength. Always fertilize on damp soil. No fertilizer is needed in the fall and winter.
51,Ant Plant,HUMIDITY,"Your Ant Plant does fine in average household humidity, but provide extra humidity if the air gets too dry."
52,Ant Plant,LIGHT,"Your Ant Plant prefers indirect bright light. Too much light will scorch the leaves, but it will not tolerate low light conditions."
53,Ant Plant,TEMPERATURE,Your Ant Plant prefers temperatures between 65-85°F.
54,Ant Plant,TOXICITY,This plant is considered toxic to humans and pets if ingested.
55,Ant Plant,WATER,Wateronly when 50-75% of the soil volume is dry. This succulent-like plant does not tolerate soggy soil. Always water thoroughly and discard any excess water in the saucer.
56,Anthurium Big and Bold,ADDITIONAL CARE,"Prunespent flowers as they appear. If you notice your Anthurium hasn’t bloomed during the growing season, it may need more light.
Give your Anthurium a six-week rest during the winter. Lower temperatures, less light, and drier soil during this time will help your plant produce more flowers in the spring and summer."
57,Anthurium Big and Bold,FOOD,"Feed every month in the spring and summer with a fertilizer high in nitrogen or one formulated for Anthurium plants. Dilute the fertilizer to half the recommended strength, and be sure to only apply fertilizer to damp soil."
58,Anthurium Big and Bold,HUMIDITY,Your Anthurium loves a humid environment.Mist frequentlyor use a pebble tray or humidifier during the winter months when the air is dry.
59,Anthurium Big and Bold,LIGHT,"Your Anthurium prefers bright indirect light. Direct sun may burn the leaves. The more light the plant receives, the more blooms your plant will produce."
60,Anthurium Big and Bold,TEMPERATURE,Your Anthurium prefers average to warm temperatures between 65-80°F. Avoid temperatures below 60°F and avoid placing your plant near heating and air conditioning vents or fans.
61,Anthurium Big and Bold,TOXICITY,This plant is considered toxic to pets and humans if ingested.
62,Anthurium Big and Bold,WATER,Water your Anthuriumwhen 50-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. Overwatering causes yellow leaf tips and underwatering causes brown leaf tips.
63,Aralia Fabian,ADDITIONAL CARE,"Try not to move your Aralia very often, since they prefer a consistent environment. If you do need to relocate it, you may see a bit of leaf drop. Not to worry—it will adjust.Pruneany discolored leaves as they age with sharp snips. s."
64,Aralia Fabian,FOOD,Feed once a month in the spring and summer when it is producing new leaves with ageneral-purpose fertilizerat half strength. Always make sure the soil is damp before applying any fertilizer.
65,Aralia Fabian,HUMIDITY,Your Aralia prefers a humid environment. Place under a pebble tray or have a humidifier nearby.
66,Aralia Fabian,LIGHT,"Your Aralia prefers indirect bright light, and can adjust to lower light. Too much direct light will scorch the leaves, but too little light will cause slow growth and yellow leaves. Rotate your plant monthly to keep growth even. If you are worried you don’t have enough light in your home, try adding agrow light."
67,Aralia Fabian,TEMPERATURE,Your Aralia is most comfortable in temperatures between 65-80°F.
68,Aralia Fabian,TOXICITY,Aralias are considered toxic to humans and pets if ingested.
69,Aralia Fabian,WATER,Water your Araliawhen the soil volume is 50% dry. Always check the soil moisture before watering. Water thoroughly until you see water flow out of the drainage hole and discard any excess water in the saucer.
70,Areca Palm,ADDITIONAL CARE,"You can prune your Areca Palm to maintain a certain size or shape. Pruning also encourages more branching, which will make your Palm look more full. The best time to prune is springtime when their growth naturally increases."
71,Areca Palm,FOOD,"Feed your Areca Palm once a month during spring and summer with a palm-specific houseplant fertilizer. Only apply fertilizer to damp soil, so that you don’t burn the roots."
72,Areca Palm,HUMIDITY,"Your Areca Palm appreciates added humidity. Make your Palm happy by misting them a couple of times a week, or adding a humidifier nearby. If the humidity drops too low, particularly during winter, fronds can start to crisp and die."
73,Areca Palm,LIGHT,Your Areca Palm will appreciate bright indirect light as they can burn in too much sun. An east-facing window would be great for this palm. Areca Palms will not tolerate lower light environments well.
74,Areca Palm,TEMPERATURE,"Your Areca Palm does well in normal room temperatures between 60–80 degrees. They will not tolerate temperatures below 55 degrees, as colder temperatures may lead to leaf damage."
75,Areca Palm,TOXICITY,Your Areca palm is considered to be non-toxic.
76,Areca Palm,WATER,"Water your Palm when the soil is about 50% dry. Palms do not like to sit in water, as this can lead to root rot. They can handle drying out occasionally, so don’t worry if you forget to water them once in a while."
77,Arrowhead Plant,ADDITIONAL CARE,"If you want to keep your plant compact and bushy, pinch the new growth on a regular basis. Wear gloves when pinching as the plant’s sap can cause skin irritation."
78,Arrowhead Plant,FOOD,Feed once a month during the spring and summer with ageneral-purpose fertilizerfor indoor plants.
79,Arrowhead Plant,HUMIDITY,"Your Arrowhead Plant will do well in higher humidity environments, especially during the winter.Mist the plantdaily or place its container on a tray filled with pebbles and water to increase the humidity."
80,Arrowhead Plant,LIGHT,Your Arrowhead Plant prefers bright indirect light but can adapt to low light. Direct sun may burn the leaves.
81,Arrowhead Plant,TEMPERATURE,Your Arrowhead Plant prefers temperatures between 65-80°F during the day and above 60°F at night.
82,Arrowhead Plant,TOXICITY,Your Arrowhead Plant is considered toxic to humans and pets if ingested.
83,Arrowhead Plant,WATER,Waterwhen 50%-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
84,Asparagus Fern,ADDITIONAL CARE,You can propagate this plant by planting its berries or by separating the plant at its roots to replant.
85,Asparagus Fern,FOOD,"In the spring and summer, fertilize your fern once a month with anall-purpose fertilizerdiluted to half strength."
86,Asparagus Fern,HUMIDITY,"Asparagus ferns grow best in a humid environment, so regularmistingor the use of a pebble tray can help keep the plant green and healthy."
87,Asparagus Fern,LIGHT,"This plant grows best in bright indirect light and dappled shade, so be sure to keep it out of direct sunlight."
88,Asparagus Fern,TEMPERATURE,The asparagus fern does best in temperatures from 60–80 °F.
89,Asparagus Fern,TOXICITY,This plant and its berries are toxic to both humans and pets.
90,Asparagus Fern,WATER,"Waterwhen 25% of the soil volume is dry, allowing the water to run out of the drainage hole fully to avoid root rot. If the plant is turning brown or drooping, this is a sign it is not getting enough water."
91,Autumn Fern,ADDITIONAL CARE,"As the plant grows, the lower, older fronds will naturally turn brown. Regularly remove any dead fronds from the plant to encourage healthy new growth. Cut stems at the soil line with clean,sharp pruning scissorsorplant snips."
92,Autumn Fern,FOOD,Feed your fern once a month in the spring and summer with ageneral-purpose indoor plant fertilizerat half-strength. There’s no need to feed in the fall or winter when the plant goes into a natural resting period.
93,Autumn Fern,HUMIDITY,"The Autumn Fern prefers a humid environment. If the air in your home is dry, use a pebble tray or place a humidifier nearby."
94,Autumn Fern,LIGHT,"Your Autumn Fern prefers bright indirect light. Too much direct light will burn the foliage, and too little light will cause its signature autumnal colors to fade. Try using agrow lightif you are worried you do not have enough light in your space."
95,Autumn Fern,TEMPERATURE,Autumn Fern plants can grow in temperatures between 60-80°F. Keep away from drafty areas or open vents.
96,Autumn Fern,TOXICITY,The Autumn Fern is non-toxic to humans and pets.
97,Autumn Fern,WATER,"Water your Autumn Fernwhen 25-50% of the soil volume is dry. Water thoroughly until you see water flow out of the drainage hole, and discard the excess water."
98,Avocado Tree,ADDITIONAL CARE,"Trim your avocado tree back as it grows, as this will help encourage bushier growth and a stronger stem! Snip back the stems just above a leaf to remove length."
99,Avocado Tree,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength once a month during the spring and summer. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant."
100,Avocado Tree,HUMIDITY,Your avocado will thrive in a humid environment. Try misting it often!
101,Avocado Tree,LIGHT,"Your avocado tree will do best in bright light. It needs 6+ hours of direct sunlight a day to thrive indoors. A south or west window will be best, but try using a grow-light if you do not think you have enough sunlight in your home."
102,Avocado Tree,TEMPERATURE,Your avocado tree will do best in warmer temperatures between 65–85°F.
103,Avocado Tree,TOXICITY,Your avocado plant is toxic and not pet-friendly to many animals.
104,Avocado Tree,WATER,"Water when the soil is 50% dry. In the winter, it’s best to allow the soil to dry out more since the tree is not actively growing. Always test the soil before watering and water evenly until water runs through the drainage hole. Drain the excess water."
105,Baltic Blue Pothos,ADDITIONAL CARE,"Trim out any dead, discolored, or damaged leaves and stems as they occur with clean,sharp scissors. Snipping stems just above a leaf node will encourage bushy and fuller growth. Stems that are removed can be easily propagated in water."
106,Baltic Blue Pothos,FOOD,"Feed once per month in spring through fall with anall-purpose fertilizer for indoor plants, diluted to half strength. Never apply fertilizer to dry soil."
107,Baltic Blue Pothos,HUMIDITY,"Your Pothos will do well in average household humidity, but will thrive with a boost of humidity. Try adding a pebble tray, grouping with other plants, or placing a humidifier nearby."
108,Baltic Blue Pothos,LIGHT,"Your Pothos prefers indirect bright light. It can tolerate lower light, but growth will slow. Avoid prolonged exposure to direct light, which can scorch the leaves."
109,Baltic Blue Pothos,TEMPERATURE,Your Pothos prefers temperatures between 65-85°F.
110,Baltic Blue Pothos,TOXICITY,This plant is considered toxic to pets and humans if ingested.
111,Baltic Blue Pothos,WATER,Water your Pothoswhen 50-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
112,Basil,ADDITIONAL CARE,"Cut your Basil at any point to enjoy it. Simply cut off the top of the plant, and it will regrow new leaves from that point. Do not worry about harming the plant, as cutting it actually encourages new growth."
113,Basil,FOOD,Feed your Basil with a fertilizer for garden plants 1-2 times a month during spring and summer.
114,Basil,HUMIDITY,"If kept indoors, mist a few times per week."
115,Basil,LIGHT,"Your Basil will grow best in full sun, but will also do just fine indoors on a sunny windowsill or grow light. However, make sure it is receiving at least 6-8 hours of direct sun per day."
116,Basil,TEMPERATURE,"Basil will do best in temperatures between 60-90 degrees. Basil is sensitive to the cold, so make sure the temperature does not dip below 55 degrees."
117,Basil,TOXICITY,"Basil is non-toxic. However, it is meant to be eaten by humans and not pets."
118,Basil,WATER,"Do not allow the soil of your Basil to dry out completely. Water when the top 25% of soil is dry. During peak growth in the spring and summer, watering may be needed every day."
119,Begonia Fedor,ADDITIONAL CARE,"Begonias are prone to powdery mildew that can occur if their leaves are kept wet, so avoid getting the leaves wet during watering and do not mist the plant. Brown leaf edges can be trimmed away with a pair ofplant snips; this indicates the plant would benefit from a boost in humidity."
120,Begonia Fedor,FOOD,Feed once a month during the spring and summer with anall-purpose fertilizerfor indoor plants. Never apply fertilizer to dry soil.
121,Begonia Fedor,HUMIDITY,Your Begonia prefers a humid environment but does not tolerate misting. Use a pebble tray or humidifier instead.
122,Begonia Fedor,LIGHT,Your Begonia prefers medium to bright indirect light. Direct light can burn the leaves.
123,Begonia Fedor,TEMPERATURE,Your Begonia will do well in average room temperatures between 65-80°F.
124,Begonia Fedor,TOXICITY,Your Begonia is considered toxic to pets and humans if ingested.
125,Begonia Fedor,WATER,Water when the soil volume is 50-75% dry.Water thoroughlyuntil you see water flow out of the drainage hole. Discard any excess water in the tray after a few minutes.
126,Bird of Paradise,ADDITIONAL CARE,"The Bird of Paradise is sensitive to salt and mineral build-up, so water that’s too hard or soft can cause browning leaf edges. If you notice this, try using rainwater or distilled water. If you notice your plant’s leaves splitting, this is natural. This is to protect their large leaves from snapping from rain and wind."
127,Bird of Paradise,FOOD,"During spring and summer, fertilize once a month with ageneral purpose fertilizer. No fertilizer is necessary during the winter when plant growth naturally slows."
128,Bird of Paradise,HUMIDITY,The Bird of Paradise prefers a humid environment. Add a pebble tray or a humidifier nearby if you notice crispy leaf edges.
129,Bird of Paradise,LIGHT,"The Bird of Paradise can handle direct and bright indirect light. However, it will flourish most in a sunny spot in direct sun. If you don’t think you have a spot with enough light, try using agrow light."
130,Bird of Paradise,TEMPERATURE,Average indoor temperatures of 65-80°F are best for the Bird of Paradise.
131,Bird of Paradise,TOXICITY,Bird of Paradise is considered toxic to humans and pets if ingested.
132,Bird of Paradise,WATER,Water your Bird of Paradisewhen the soil volume is 50% dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
133,Bishop's Cap Cactus,ADDITIONAL CARE,"Some plants are more green in color, and some have a white flecked coating- this is a natural protective response from the cacti! It may fleck off naturally, but no need to take it off yourself."
134,Bishop's Cap Cactus,FOOD,"Before applying any type of plant food, make sure the soil is already damp-never apply to dry soil. Your Bishop’s Cap Cactus requires fertilizer once in the spring and once in the summer. Apply an all-purpose, liquid plant food diluted to half strength. Do not fertilize your cactus in the fall or winter months when growth naturally slows."
135,Bishop's Cap Cactus,HUMIDITY,"Your Bishop’s Cap Cactus requires no additional humidity, and will thrive in dry environments."
136,Bishop's Cap Cactus,LIGHT,Your Bishop’s Cap Cactus needs as much bright light to full sunlight as it can possibly get.
137,Bishop's Cap Cactus,TEMPERATURE,"Your Bishop’s Cap Cactus prefers temperatures between 55-90 degrees. Keep away from heating or cooling vents, fans, heaters, and air conditioning units that cause fluctuating temperatures."
138,Bishop's Cap Cactus,TOXICITY,Non-toxic to pets and children.
139,Bishop's Cap Cactus,WATER,"Water only when the soil is completely dry. Water until liquid flows through the drainage hole at
the bottom of the pot and discard any water that has accumulated in the saucer."
140,Bromeliad Aechmea Pink,ADDITIONAL CARE,"Bromeliad leaves have special epidermal cellular structures called trichomes that absorb water and minerals from the leaf’s surface. These plants are mostly epiphytic in the wild, which means they grow on rocks and trees, so these trichomes are pretty important. You’ll notice these as waxy white deposits on your plant’s leaves. There’s no need to remove this coating; just let nature do its thing!"
141,Bromeliad Aechmea Pink,FOOD,Bromeliads are similar to air plants in that they take in nutrients through their foliage. Use a foliar fertilizer spray on your bromeliad 1-2 times a month during spring and summer. You can use a foliar spray made for orchids or air plants.
142,Bromeliad Aechmea Pink,HUMIDITY,"This plant prefers a humid environment.Mistoften, place a humidifier nearby, or use a pebble tray."
143,Bromeliad Aechmea Pink,LIGHT,"Your bromeliad prefers indirect bright light like from a sunny eastern window. Too little light and the plant will not produce new pups and flowers, but too much light will burn the leaves."
144,Bromeliad Aechmea Pink,TEMPERATURE,Your bromeliad prefers temperatures between 60-80°F.
145,Bromeliad Aechmea Pink,TOXICITY,"Your Bromeliad is non-toxic and pet friendly. The leaves can cause contact dermatitis in some individuals, so consider wearing gloves when handling the plant."
146,Bromeliad Aechmea Pink,WATER,"Bromeliads are unique in that you water the center of the plant instead of the soil. Keep the center of the plant filled with water at all times – up to halfway. Every few weeks, empty any water, rinse and fill with fresh water. This helps prevent salt and mineral buildup. Onlywater the soilwhen it is 100% dry. When watering the soil, water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer."
147,Burgundy Rubber Tree,ADDITIONAL CARE,"Rubber Trees are sensitive to being moved. If you have to move your plant to a drastically different spot, do so gradually. Any sudden changes can cause leaves to drop. When pruning your plant, be careful of the milky latex substance that may leak out where cuts have occurred—this is a mildly toxic irritant. If you get the sap on your hands or skin, wash with warm water and soap immediately."
148,Burgundy Rubber Tree,FOOD,Feed once a month during the spring and summer with an all-purpose fertilizer for indoor plants. No fertilizer is needed in the fall and winter months when growth naturally slows.
149,Burgundy Rubber Tree,HUMIDITY,"Your Rubber Tree does fine in average household humidity, but won’t mind added humidity with a pebble tray or nearby humidifier."
150,Burgundy Rubber Tree,LIGHT,"Your Burgundy Rubber Tree prefers bright indirect light. Direct sunlight in the morning or late afternoon is fine, but avoid harsh midday sun which may cause leaf scorch. This plant does not tolerate low light."
151,Burgundy Rubber Tree,TEMPERATURE,The Burgundy Rubber Tree enjoys temperatures from 60° – 80°F.
152,Burgundy Rubber Tree,TOXICITY,This plant is considered toxic to humans and pets if ingested.
153,Burgundy Rubber Tree,WATER,"Water when 50%-75% of the soil volume is dry. Water slowly so that
it soaks into the soil until it flows through the drainage hole at the
bottom of the pot. Discard any excess water that accumulates in the saucer."
154,Butterfly Plant,ADDITIONAL CARE,"Butterfly plants are susceptible to spider mites. To treat the plant, spray withNeem oilorinsecticidal soapon the foliage and repeat weekly until the infestation is clear."
155,Butterfly Plant,FOOD,Fertilize once a month during the growing season with ageneral-purpose fertilizer. Always water before fertilizing to avoid it burning the roots.
156,Butterfly Plant,HUMIDITY,"Your butterfly plant does well in average household humidity. However, if the air is very dry it will appreciate the occasionalmisting."
157,Butterfly Plant,LIGHT,"Your butterfly plant loves bright, indirect sunlight. It can withstand medium to low light, but may not flourish."
158,Butterfly Plant,TEMPERATURE,The butterfly plant thrives in normal indoor temperatures of 65°F-85°F. Try not to let the plant get too cold and keep it away from drafty areas.
159,Butterfly Plant,TOXICITY,The butterfly plant is considered toxic to pets and humans if ingested.
160,Butterfly Plant,WATER,The butterfly plant loves to stay moist. Water when 50% of the soil volume is dry. Alwayswater thoroughlyuntil it comes out of the drainage hole and discard excess water in the saucer. Try not to get water on your plant’s leaves as this can cause mildew to form on the foliage.
161,Caladium,ADDITIONAL CARE,"Even indoors, your caladium will most likely go into a dormant stage after producing new leaves. This is the normal lifecycle of this tuberous plant. Cut back on watering when old leaves start to die back in the fall, and to encourage the plant to come out of dormancy in the spring, you’ll want to water, apply a weak fertilizer, and keep the caladium in a warm location. Prune off the old discoloring leaves as they appear."
162,Caladium,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength once a month during the spring and summer. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant. No fertilizer is needed in the fall and winter months."
163,Caladium,HUMIDITY,"Your caladium prefers a humid environment. Mist the leaves regularly, place a humidifier nearby, or use a pebble tray to raise the humidity."
164,Caladium,LIGHT,Your caladium will thrive best in bright to medium-bright indirect light. It can tolerate direct morning sun like in an eastern or northern window. Avoid areas in which it will be exposed to harsh afternoon sun.
165,Caladium,TEMPERATURE,"Your caladium prefers temperatures between 65-80°F. Avoid cold drafts and sudden temperature changes. Over winter, when the plant is naturally dormant, keep it in an area that stays above 60°F. In spring, very warm temperatures at 75°F or above are helpful to “wake up” your caladium more quickly."
166,Caladium,TOXICITY,Your caladium is considered to be toxic to pets and humans if ingested. Can cause mouth and stomach irritation.
167,Caladium,WATER,"Water your caladium when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. When the plant goes dormant in the winter, water very sparingly to allow the plant to rest. Begin watering again in the spring to “wake” the plant out of dormancy."
168,Calathea Beauty Star,ADDITIONAL CARE,"If you notice a tip or edges of your Beauty Star are burned, often with a yellowish hue, it could be due to your tap water. To solve this, use distilled water, rainwater, or allow your tap water to stand overnight before watering so the chlorine and fluoride can evaporate. Remove any yellow leaves to keep your plant strong and growing. Do not use any shine products on the leaves, instead, clean leaves occasionally with a damp cloth."
169,Calathea Beauty Star,FOOD,"For best results, use a general houseplant fertilizer every four weeks during the spring and summer. No fertilizer is necessary during the winter when plant growth naturally slows."
170,Calathea Beauty Star,HUMIDITY,"Like many tropical indoor plants, your Beauty Star prefers a spot with ample humidity. Brown edges on the leaves indicate the air is too dry. Mist often, add a pebble tray, or place a humidifier nearby."
171,Calathea Beauty Star,LIGHT,"Your Calathea Beauty Star prefers medium to bright indirect light—so placing it in front of an east, west, or north window is ideal. Direct sun burns the leaves and causes the beautiful leaf colors to fade."
172,Calathea Beauty Star,TEMPERATURE,"Your Beauty Start enjoys the warmth, preferably between 65-85 degrees. Maintain indoor temperatures above 60 degrees and avoid cold drafts and sudden temperature changes."
173,Calathea Beauty Star,TOXICITY,"Your Calathea Beauty Star is non-toxic to cats, dogs, and humans."
174,Calathea Beauty Star,WATER,Water your Calathea when the top 25% of soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
175,Calla Lily,ADDITIONAL CARE,"Prune spent flowers as they appear. If you notice your Calla hasn’t rebloomed during the growing season, it may need more light. Give your Calla a six-week rest during the winter. Lower temperatures, reduced light, and drier soil during this time will encourage dormancy, ultimately helping your plant produce more flowers in the spring and summer."
176,Calla Lily,FOOD,"Feed every month in the spring and summer with anall-purpose fertilizer for indoor plants.Dilute the fertilizer to half the recommended strength, and be sure to only apply fertilizer to damp soil."
177,Calla Lily,HUMIDITY,"This plant does best with added humidity. Place a humidifier nearby, group with other plants, or use a pebble tray."
178,Calla Lily,LIGHT,"Your Calla Lily prefers bright indirect light. Avoid prolonged exposure to direct sunlight, which can burn the leaves. If you aren’t sure you have enough light indoors, try using agrow light."
179,Calla Lily,TEMPERATURE,Your Calla Lily prefers temperatures between 60-80°F.
